Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A0A087SBN0,III_3-I_3,0.331819480979878,0.108406215647114,3.06088981152171,9,0.0135521096208715,0.025018274796855,NA,0.428571428571429,0.428571428571429
A0A087SBN0,LZ5-I_3,-0.578227270508104,0.115024573373686,-5.02698904719768,9,0.000712279449754272,0.00320525752389422,NA,0.532467532467533,0.532467532467532
A0A087SBN0,LZ5-III_3,-0.910046751487982,0.115024573373686,-7.91175941623771,9,2.4183123427779e-05,0.000152453233629446,NA,0.584415584415584,0.584415584415584
A0A087SBQ6;E1ZKK0,III_3-I_3,0.0249937377978819,0.0770913182272114,0.324209500792525,9,0.753187411333845,0.812964190011135,NA,0.5625,0.5625
A0A087SBQ6;E1ZKK0,LZ5-I_3,0.179674840310178,0.0823825816682206,2.18098093883222,9,0.057083172588511,0.0988142150290268,NA,0.522727272727273,0.522727272727273
A0A087SBQ6;E1ZKK0,LZ5-III_3,0.154681102512296,0.0823825816682206,1.87759474612295,9,0.0931632039224064,0.127871064207224,NA,0.590909090909091,0.590909090909091
A0A087SBU8,III_3-I_3,-Inf,NA,NA,NA,NA,0,oneConditionMissing,0.875,0.375
A0A087SBU8,LZ5-I_3,1.60515393032686,0.179819323047872,8.92648188815353,4,0.000870844625330935,0.00348337850132374,NA,0.454545454545455,0.454545454545455
A0A087SBU8,LZ5-III_3,Inf,NA,NA,NA,NA,0,oneConditionMissing,0.590909090909091,0.0454545454545455
A0A087SCT6;E1ZKH5,III_3-I_3,-0.567159015795264,0.142617900084845,-3.97677300996476,6,0.00731014336796632,0.0165696583007236,NA,0.527777777777778,0.527777777777778
A0A087SCT6;E1ZKH5,LZ5-I_3,-0.55616380226256,0.201692168537159,-2.75748833629152,6,0.0329633754446663,0.0644915168706021,NA,0.757575757575758,0.484848484848485
A0A087SCT6;E1ZKH5,LZ5-III_3,0.0109952135327044,0.201692168537159,0.0545148262942032,6,0.958294876455472,0.958294876455472,NA,0.606060606060606,0.333333333333333
A0A087SDB1,III_3-I_3,0.66510260980417,0.68481035039085,0.971221608178918,3,0.403074019439044,0.487159483796051,NA,0.583333333333333,0.166666666666667
A0A087SDB1,LZ5-I_3,0.390375217521737,0.409252461377727,0.953873841607596,3,0.41051837466756,0.492622049601072,NA,0.727272727272727,0.181818181818182
A0A087SDB1,LZ5-III_3,-0.274727392282433,0.708846056228843,-0.387569895985624,3,0.724196431385771,0.779903849184676,NA,0.363636363636364,0.272727272727273
A0A087SE71;E1Z696,III_3-I_3,-1.17980070564761,0.200325480635809,-5.88941906892258,8,0.000366087892615719,0.00165959844652459,NA,0.361111111111111,0.277777777777778
